YEAR,POP,B,D,CBR,CDR,LE,LMF,LMHS,LMC,LMP,FPC,SOPC,IOPC,PPOLX,HSAPC,EHSPC,AIOPC,DIOPC,PLE,DTF,DCFS,CMPLE,MTF,FCE,TF,FPU
1900,1641572708.475641,66192700.79462778,34619992.31898677,40.322734687819036,21.08952721998819,46.504920774260874,1.0260869565217392,1.6400000000000001,0.99195,0.995,260.0,600.0,200.0,0.5,68.0,68.0,200.0,200.0,28.06245410761313,4.028502569973664,2.8,1.4387509178477373,10.380590492911304,0.7515964961943704,5.606383466512798,0.16415727084756412
1901,1674768189.9047735,68428710.08993158,35233228.660799205,40.858615838543244,21.037674869381505,46.59160601713657,1.0275652173913044,1.640225,0.9924077262233002,0.994825,261.7,605.0,205.0,0.5175,68.9,68.045,201.66666666666666,200.016875,28.22200464472132,4.161902201113679,2.8991490919421485,1.4355599071055736,10.390992722056389,0.755599095459838,5.684297558894626,0.16747681899047737
1902,1708932465.8004782,70037906.97950931,35873631.083804674,40.983425841057425,20.991836600752485,46.68521527671214,1.0290434782608695,1.64066375,0.9928822351929047,0.99465,263.4,610.0,210.0,0.535,69.8,68.13275,204.44444444444443,200.07678125,28.493805167346807,4.237356604069079,2.9629297251698374,1.4301238966530638,10.402225833205458,0.7623149108158664,5.70265409660488,0.17089324658004784
1903,1743504667.851618,71099026.0494172,36526823.99827728,40.77937235294406,20.950230115120007,46.78568456652779,1.0305217391304349,1.6413055625,0.9933778866950231,0.994475,265.1,615.0,215.0,0.5525,70.7,68.2611125,207.96296296296296,200.20984062500003,28.879764423550842,4.271072444400317,3.0027125260357304,1.422404711528983,10.414282147983336,0.7717401477819141,5.673320583484887,0.1743504667851618
1904,1777997807.3219583,71673704.9705916,37180565.50025131,40.31146983164585,20.9114799507279,46.89290344010054,1.032,1.642140284375,0.9938977336625193,0.9943,266.8,620.0,220.0,0.5700000000000001,71.6,68.428056875,211.97530864197532,200.44653359375002,29.373178731380264,4.274991347988977,3.02646450116282,1.4125364253723947,10.427148412812066,0.7836890146891976,5.6057705044676736,0.17779978073219582
1905,1811983468.1410172,71809989.25524327,37824328.43618433,39.63059846727844,20.874543891390882,47.006725058495725,1.0334782608695652,1.64315827015625,0.9944437568521188,0.994125,268.5,625.0,225.0,0.5875,72.5,68.63165403125,216.31687242798355,200.81535939453127,29.962122172442506,4.257749641684374,3.039604977871771,1.4007575565511499,10.440807007019487,0.7978797173732267,5.507470943863459,0.18119834681410174
1906,1845290068.2134738,71755567.28267854,38448967.21022188,38.88579281855076,20.836272774960754,47.12697374246481,1.0349565217391303,1.6443503566484374,0.9950170454626122,0.99395,270.2,630.0,230.0,0.605,73.4,68.87007132968749,220.87791495198903,201.3414232654297,30.631885502455642,4.244805898707302,3.045751113165913,1.3936811449754436,10.455236849095778,0.8139789302014508,5.400076908008587,0.1845290068213474
1907,1877636064.6298,71396922.2576441,39050925.841317855,38.024899288308525,20.797920628467075,47.25342686398138,1.0364347826086957,1.6457078388160156,0.995617436087993,0.993775,271.9,635.0,235.0,0.6225,74.3,69.14156776320311,225.58527663465935,202.04569028246095,31.3666919265676,4.224555920191714,3.0472878263526813,1.386333080734324,10.470411223677766,0.8316405177034365,5.276104885585871,0.18776360646298001
1908,1908786953.4751263,70775274.91856642,39624386.07324018,37.07866652677679,20.75893593106358,47.38587144692287,1.0379130434782609,1.6472224468752148,0.9962447278707404,0.9936,273.6,640.0,240.0,0.64,75.2,69.44448937504296,230.39018442310623,202.94470788062307,32.150868181459394,4.1985746763240614,3.045775204337817,1.378491318185406,10.486304573630743,0.8502652570389573,5.140066296305742,0.19087869534751264
1909,1939373654.7662222,70751327.10260013,40164625.81150423,36.48153460717641,20.710101796420343,47.52408157449828,1.039391304347826,1.648886324531454,0.9968982212006029,0.993425,275.3,645.0,245.0,0.6575,76.1,69.77726490629081,235.2601229487375,204.0506479712367,32.96960957139569,4.168777934121697,3.042228750193715,1.370303904286043,10.502889788939795,0.8601709198366035,5.054470968432977,0.19393736547662221
1910,1969284467.3227258,70596028.94434518,40685216.38784172,35.848568409378466,20.659898081232484,47.66777289024768,1.0408695652173914,1.6506920083048813,0.9975757829315423,0.99325,277.0,650.0,250.0,0.675,77.0,70.13840166097627,240.17341529915834,205.37155754011945,33.809446036653675,4.1365262262951985,3.0373077323765667,1.3619055396334632,10.520132746829722,0.8704010069791117,4.963835203198049,0.19692844673227258
1911,1998424827.9802878,70324351.9964772,41183991.33891507,35.18989106412907,20.60822642027409,47.816746344882155,1.0423478260869565,1.6526324078896373,0.9982768760910926,0.993075,278.7,655.0,255.0,0.6925,77.9,70.52648157792746,245.1156101994389,206.91173597683667,34.65849208831945,4.1027965133891,3.031439930510048,1.3534150791168056,10.53800956138586,0.8808380882217627,4.869628802888651,0.1998424827980288
1912,2026714834.2001657,69949196.46061769,41659190.24073967,34.51358586824714,20.555032971464033,47.97080347533911,1.0438260869565217,1.6547007874951554,0.9990007875860099,0.9929,280.4,660.0,260.0,0.71,78.8,70.94015749903109,250.0770734662926,208.67217995806035,35.506543480530404,4.068297225974389,3.024903464642127,1.344934565194696,10.556496417040693,0.8913835235157831,4.7730225608357575,0.2026714834200166
1913,2054087209.844807,69481776.68325245,42109401.03861122,33.82610842920444,20.500298544672173,48.12974737735684,1.045304347826087,1.6568907481203976,0.9997466606457249,0.992725,282.1,665.0,265.0,0.7275,79.7,71.37814962407953,255.05138231086173,210.65105393758628,36.34506821857864,4.033545605769595,3.0178801126216843,1.3365493178142136,10.575569685282822,0.9019564873986575,4.674948626047636,0.2054087209844807
1914,2080485571.9430103,68931874.20494701,42533512.10674355,33.13258939862296,20.444031278246545,48.29338345466981,1.0467826086956522,1.6591962107143778,1.0005135218024612,0.99255,283.8,670.0,270.0,0.745,80.6,71.83924214287555,260.0342548739078,212.844157338524,37.16712758622457,3.9989201691767025,3.010489870850669,1.3283287241377544,10.595206014560379,0.9124924390193198,4.576145055037612,0.20804855719430104
1915,2105862913.4906578,68308012.56684841,42930671.01920086,32.4370651713609,20.38626101641127,48.46151999377106,1.0482608695652174,1.6616114001786588,1.0013003034824643,0.992375,285.5,675.0,275.0,0.7625,81.5,72.32228003573177,265.0228365826052,215.24536932026177,37.96725362606316,3.9646968106199916,3.0028132561837095,1.3203274637393685,10.615382399252528,0.9229413147094692,4.477189898360695,0.21058629134906579
1916,2130180253.296368,67617588.05400674,43300248.2482966,31.742660251108447,20.32703485129543,48.633968595630414,1.0497391304347825,1.664130830169726,1.0021058629134907,0.9922,287.2,680.0,280.0,0.78,82.4,72.82616603394517,270.01522438840345,217.8470592348369,38.74130236706417,3.931074129257927,2.9949056330355743,1.3125869763293583,10.63607623147565,0.9332656304126029,4.378528217631599,0.2130180253296368
1917,2153405425.620709,66866977.09687405,43641804.77253293,31.05173614838458,20.26641349245853,48.810544485938635,1.0512173913043479,1.6667492886612396,1.0029289978482825,0.992025,288.9,685.0,285.0,0.7975000000000001,83.3,73.34985773224791,275.010149592269,220.64045617268778,39.486296618051945,3.8981916090104805,2.986806372050015,1.3051370338194805,10.657265338312637,0.9434386169437102,4.280494167319245,0.2153405425620709
1918,2175660137.9064207,66209775.31624242,43955063.03053082,30.43203952799094,20.203092507282683,48.99106672023133,1.052695652173913,1.6694618242281776,1.0037684594948362,0.99185,290.6,690.0,290.0,0.8150000000000001,84.2,73.89236484563551,280.006766394846,223.6159747826506,40.20026797870768,3.866143000911323,2.978544670860431,1.2979973202129234,10.67892800642776,0.9520654790537079,4.192710586460835,0.21756601379064208
